wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
Mxwhf8NUC,https://weibo.cn/comment/Mxwhf8NUC?uid=6859133019&rl=0#cmtfrm,"上周日忙里偷闲做的，中国古代历史人物关系和足迹可视化网址：网页链接数据来源：CBDB 放几张图：第一张站点长啥样第二、三张是苏轼的社会关系和亲属关系第四张是苏轼的足迹图、第五张是局部放大图（足迹图上的地名做了处理，省份都是现在的名字，省份以下的都是当时那个朝代的叫法，方便定位和区分，足迹的流向则是解析数据库抽取出的二维空间向量）第六张则是李白的足迹图2023 年做的第一个小玩意，just for fun.         [组图共6张]  原图                         ",https://ww1.sinaimg.cn/large/007ucdPJgy1hc1kexlctij31vm0ex0xn.jpg https://ww1.sinaimg.cn/large/007ucdPJgy1hc1keyhi0wj31wk0w5b2a.jpg https://ww1.sinaimg.cn/large/007ucdPJgy1hc1keypc94j31in0ue0z8.jpg https://ww2.sinaimg.cn/large/007ucdPJgy1hc1keyyc1mj31k40sun8c.jpg https://ww3.sinaimg.cn/large/007ucdPJgy1hc1kf02q5wj31fc0s6dud.jpg https://ww1.sinaimg.cn/large/007ucdPJgy1hc1kf0b1q8j31uw0uowtt.jpg,无,True,无,2023-03-16 12:07,微博网页版,51,24,8
Mwnh3uYlj,https://weibo.cn/comment/Mwnh3uYlj?uid=6859133019&rl=0#cmtfrm,"#拼多多app越权# 以前在大厂干过 Android 系统工程师，还是稍微懂得一些的。1、以前爆出来过拼多多远程删除照片，这个几乎没有技术难度。2、拼多多还喜欢【劫持】（有待考证）别人的域名，分享出去的邀请链接完全看不出是拼多多的，甚至我还看到拼多多用其他大厂域名的。3、这波使用序列化漏洞越权，动态加载服务器下方的 dex 包，保活和伪造卸载假象，保活倒是大家的基操，这个伪造卸载属实有点过分。4、其他各种拿捏人性的小动作，不适合公开说。关于 app 个人需要注意的1、凡是你觉得某个 app 有不正常行为的，上网搜索有无，考虑卸载并去系统设置里确认。2、尽量不要从 app 内部更新（可能夹带了私货），尽量去应用市场更新。3、尽量不要给任何 app 通讯录权限。4、买一台新手机，尽量配一个新手机号，同时记得不要给任何 app 读取设备 id 的权限（app 少这个权限死不了)；对于老用户，定期重置自己的设备或者广告 id。app 死不了的原因在于，它相对于小程序网页稳定，同时，app 能干的事情真的太多了。          原图                         ",https://ww2.sinaimg.cn/large/007ucdPJgy1hbsuqbqbdrj31yu0vkaz1.jpg,无,True,无,2023-03-08 23:22,微博网页版,30,8,0
Mv0mIeJX7,https://weibo.cn/comment/Mv0mIeJX7?uid=6859133019&rl=0#cmtfrm,1、大三学 dp，现在还是不会 dp（全忘了2、找好细分方向，别卷红海  原图 ,https://ww1.sinaimg.cn/large/007ucdPJgy1hbig9el4f0j30tm0ptwq8.jpg,无,True,无,2023-02-27 23:12,微博网页版,2,0,0
MulYNe9Oe,https://weibo.cn/comment/MulYNe9Oe?uid=6859133019&rl=0#cmtfrm,转发微博已被删除,无,,False,无,2023-02-23 16:23,微博网页版,3,0,0
MtCg8BAgp,https://weibo.cn/comment/MtCg8BAgp?uid=6859133019&rl=0#cmtfrm,转发微博已被删除,无,,False,无,2023-02-18 20:00,微博网页版,0,0,0
Msx9IonVm,https://weibo.cn/comment/Msx9IonVm?uid=6859133019&rl=0#cmtfrm,"转发理由:感谢大佬介绍！最新的代码已经上传 github，解决了不能爬自己微博和和爬不全的 bug，以及新增了功能，微博相册下载，欢迎尝试~  
原始用户: Simon_阿文
转发内容: ▶ 写给小白看的爬🐞教程：www.notion.so/simonxxoo/a64edaf5bdf948e992680184f19e368b又被屏蔽了所有转发，那我只能放到 Notion 了  [组图共2张] 原图 ",无,https://ww3.sinaimg.cn/large/68c4467dly1hazlkrnhgzj20x756snpe.jpg https://ww2.sinaimg.cn/large/68c4467dly1hazl5ksiddj20ro0y9ait.jpg,False,无,2023-02-11 17:10,微博网页版,8,3,17
MsprocZEv,https://weibo.cn/comment/MsprocZEv?uid=6859133019&rl=0#cmtfrm,"主线任务，硬件创业一年有余感想1、做一件事，从人本身出发，找靠谱的合伙人，风雨同舟很重要。2、做一个产品，从问题出发，而不是从技术和方案出发，做出能够解决问题，提高效率的产品，很难失败。3、相比较大公司，初创公司的优势在哪，无非是组织灵活、行动高效，更像是手脑并用、指哪打哪的一个人。对于用户体验链长的产品、需要很多资源协调的事情，肯定是大公司有优势，但是对于一步到位，端到端的，初创公司更有优势。展开说说，就拿 ChatGPT 来说，为什么 Google 和微软都押宝一个创业公司，在公司内部做，如果单独成立一个部门，从其他部门调用资源可能比较难，大家都有自己的 KPI，否则就要像 Meta 那样 All in 了。这也是我长期不看好百度做文心一言的原因，对话机器人一直在做，也说很早就开始做类 ChatGPT 项目了，肯定是优先度不够，现在形势比人强，估计做出来离 ChatGPT 也有代差。4、长期不看好互联网赛道了，大家都在做同样的东西，短视频、直播、电商、广告、金融 等等 + 人性，中国读书人历来的理想之一是入朝做官，为国驭民，现在研究人性的这一套又被加到互联网上去，拿捏的死死的；有人投一百亿搞 ChatGPT ，有人投一百亿搞烂大街的协同办公。几年前，我不明白为什么国外的大部分产品体验不如国内，现在我明白了。互联网大厂打败了无数的小商家，也终将会被无数的新时代小作坊所打败。 anyway，希望接下来几个月创业顺利。@Mark周末                                                                                       BuyiXiao 深夜 于广东大亚湾                                 ",,无,True,无,2023-02-10 21:32,微博网页版,38,3,10
MspcPcGuJ,https://weibo.cn/comment/MspcPcGuJ?uid=6859133019&rl=0#cmtfrm,"转发理由:3 年前的开源项目突然被百万大 v 博主 cue 到了，接下来要继续更新了  
原始用户: Simon_阿文
转发内容: 最初，我只是想筛选出转发量比较多的教程而已，虽然网上有很多现成脚本，但我甚至不知道用什么来打开……（用脚？）折腾了一下午，终于跑起来了先放一下我用的开源爬虫工具：▶ Weibo Super Spider：github.com/Python3Spiders/WeiboSuperSpider▶ 作者：@何事不过门户私计  但对于连 Python 都没装过的我来说还是有门槛的……回头写一个连我这样的白痴也能看懂的使用教程才行 ▶ 教程已补：网页链接Simon_阿文的微博视频                  ",无,,False,无,2023-02-10 20:56,微博网页版,13,3,6
MrWVBvio3,https://weibo.cn/comment/MrWVBvio3?uid=6859133019&rl=0#cmtfrm,去年的一个小作品，各种高级可视化图表的在线制作。online data analysis and visualization tools 网页链接  原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1hav7ywupzgj31z40y71kx.jpg,无,True,无,2023-02-07 20:56,微博网页版,11,7,0
MqzxVsEHs,https://weibo.cn/comment/MqzxVsEHs?uid=6859133019&rl=0#cmtfrm,菜根谭，了凡四训，傅雷家书，曾国藩家书。  ,,无,True,无,2023-01-29 19:35,微博轻享版,0,0,0
MpDHL4Fqe,https://weibo.cn/comment/MpDHL4Fqe?uid=6859133019&rl=0#cmtfrm,在大家都抽几块钱一根的华子，装杯的时候，在这中间抽着几块钱一包的软白沙的，还能泰然自若的人，大概率不是寻常人。  ,,无,True,无,2023-01-23 16:19,微博轻享版,5,0,2
Mo9Pgi9jg,https://weibo.cn/comment/Mo9Pgi9jg?uid=6859133019&rl=0#cmtfrm,格物致知，格物太难了，很多人就想着去格人，人性生而自由，压迫剥削束缚他人的终将被反噬，从这么角度来说，格物是比格人的境界更高一点的。可笑的是，现实上，格物连和格人平齐平坐的地位都没有。  ,,无,True,无,2023-01-13 22:25,微博网页版,3,0,1
Mo9MZ3weO,https://weibo.cn/comment/Mo9MZ3weO?uid=6859133019&rl=0#cmtfrm,"“道之行也，天下为公，人不独亲其亲，不独子其子。“2000 多年前，孔子在颜回的墓前就发出了这样的感慨。他想到，千万年后的怀抱着这种理想的人，内心是何等的凄凉。2000 多年后，这种理想依然没有实现。中国有句古话，“穷生奸计，富长良心”，我觉得是不对的，教员和伟人时代的人们穷的有志气和骨气，当今富裕的人却不一定比他们有良心。我一向是说的多，做的少，总的来说，也就是没有任何私心在山里给小朋友上了一个暑假的课和做了几十顿饭，以及在大学的时候献了一点血。2023年一定要多做，力所能及范围内多做一些“天下为公”的事。          原图                         ",https://ww2.sinaimg.cn/large/007ucdPJgy1ha2dwf9al4j31402gwh1g.jpg,无,True,无,2023-01-13 22:20,微博轻享版,4,0,0
Mo9FTBhSC,https://weibo.cn/comment/Mo9FTBhSC?uid=6859133019&rl=0#cmtfrm,B 站除了历史纪录片，教程，就是看这些，底层人民的朴实和真诚总是最让人感动和敬佩的。  [组图共4张] 原图 ,https://ww1.sinaimg.cn/large/007ucdPJgy1ha2de6xusoj31402gw4gt.jpg https://ww3.sinaimg.cn/large/007ucdPJgy1ha2de86lb5j31402gw4ka.jpg https://ww1.sinaimg.cn/large/007ucdPJgy1ha2de929waj31402gwk9n.jpg https://ww4.sinaimg.cn/large/007ucdPJgy1ha2dea9ar1j31402gw4ka.jpg,无,True,无,2023-01-13 22:02,微博轻享版,6,0,0
Mo9zgmjDs,https://weibo.cn/comment/Mo9zgmjDs?uid=6859133019&rl=0#cmtfrm,有人辛辛苦苦劳作为国家交一辈子公粮到老养老金一月60块念之断人肠～  原图 ,https://ww4.sinaimg.cn/large/007ucdPJgy1ha2cx9l7lvj31402gw7t8.jpg,无,True,无,2023-01-13 21:46,微博轻享版,1,0,0
MnXY36wVr,https://weibo.cn/comment/MnXY36wVr?uid=6859133019&rl=0#cmtfrm,转发微博已被删除,无,,False,无,2023-01-12 16:14,微博网页版,2,0,0
MnfIst3Bt,https://weibo.cn/comment/MnfIst3Bt?uid=6859133019&rl=0#cmtfrm,转发微博已被删除,无,,False,无,2023-01-07 23:35,微博网页版,1,0,1
Mn65boa8U,https://weibo.cn/comment/Mn65boa8U?uid=6859133019&rl=0#cmtfrm,"朱元璋父母被官兵逼死后，他从没想过反抗，去寺庙当了和尚讨口饭吃，后面寺庙也被砸了，他去外面化缘，被起义军抓去造反了，朱元璋的前半生委曲求全，一步步黑化，不到四十岁就当了大明王朝的董事长。努尔哈赤原本想为明朝建功立业，没想到明军把他爹他爷全杀了，明朝辽东第一大将李成梁看他胸怀大志富有谋略，潜龙勿用，走投无路下努尔哈赤起兵反明，统一建州女真，女真不满万，满万不可敌，明军不可剃，剃发无人敌。                                 ",,无,True,无,2023-01-06 23:03,微博轻享版,0,0,1
MmU6WD40q,https://weibo.cn/comment/MmU6WD40q?uid=6859133019&rl=0#cmtfrm,【一个人的命运啊，当然要靠自我奋斗，但是也要考虑到历史的进程】。说出这句话的长者在 2022 年去世了。同样去世的人有前苏联领导人戈尔巴乔夫、英女王伊丽莎白二世与日本前首相安倍晋三。  ,,无,True,无,2023-01-05 16:35,微博网页版,1,0,0
MkDWp80u8,https://weibo.cn/comment/MkDWp80u8?uid=6859133019&rl=0#cmtfrm,从大明历史看到南大萌，接着就是大清的顺治康熙，看到这一幕: 康熙收复台湾，直接在南京明孝陵祭奠朱元璋，说大清远胜于大明，多损啊，朱元璋不得从坟墓里跳起来，精明震怒！话说回来，虽然不是清朝老粉，但是康熙还是值得粉的。  [组图共2张] 原图 ,https://ww2.sinaimg.cn/large/007ucdPJgy1h9bo5f0choj31190mz1kx.jpg https://ww3.sinaimg.cn/large/007ucdPJgy1h9bo5ft6haj31100mvh8s.jpg,无,True,无,2022-12-21 19:44,微博轻享版,2,0,2
Mke5GaMsz,https://weibo.cn/comment/Mke5GaMsz?uid=6859133019&rl=0#cmtfrm,全场最拉: 法国门将。  ,,无,True,无,2022-12-19 01:55,微博轻享版,2,0,3
MibsRpbQO,https://weibo.cn/comment/MibsRpbQO?uid=6859133019&rl=0#cmtfrm,最近在学 Swift，发现它和 Vue 和 Dart 好像啊，这就是后学 ios dev 优势，不碰 OC。  ,,无,True,无,2022-12-05 15:34,微博网页版,3,0,2
MhfGF9Q9i,https://weibo.cn/comment/MhfGF9Q9i?uid=6859133019&rl=0#cmtfrm,"对于当前热点，有两派我觉得都不可取。一派是对于事情避而不见，凡事是上升到宏观叙事，指责别人过于偏激，自己做理中客。【如果一个人有条件能够对不公正保持「冷静」并且选择既不支持也不反对，说明 ta 至少没有受到这种不公正的压迫，也就是说，ta 是某种既得利益者。】【不偏不倚的讨论往往隔靴搔痒，不要害怕偏见和情绪，真诚与较真有时候更有用。】我的问题是，能不能先解决问题或给出大多数信服的解释？结尾再升华成宏大叙事？另一派则是浑水摸鱼，唯恐天下不乱的乱党，炒作热点以求获得非正当的政治诉求。这类人沙币且可恨。                                 ",,无,True,无,2022-11-29 12:28,微博轻享版,7,1,0
MgX7gqhjs,https://weibo.cn/comment/MgX7gqhjs?uid=6859133019&rl=0#cmtfrm,在侵华战争的推动下，日本基本建立了一套法西斯主义体制，议会没有了往日的争吵和喧嚣，它的主要功能便是热烈鼓掌，一致赞成。 何事不过门户私计的微博视频  ,,无,True,无,2022-11-27 13:12,微博视频号,1,0,0
MfUHBqLvf,https://weibo.cn/comment/MfUHBqLvf?uid=6859133019&rl=0#cmtfrm,十字军东征2，一局打一天，上一次玩这个游戏还是六年前。 何事不过门户私计的微博视频  ,,无,True,无,2022-11-20 17:13,微博视频号,4,0,1
Mf7r88ka6,https://weibo.cn/comment/Mf7r88ka6?uid=6859133019&rl=0#cmtfrm,万历四十八年，我们德艺双馨的老艺术家万历皇帝驾崩了。越来越像我大萌了。  原图 ,https://ww4.sinaimg.cn/large/007ucdPJgy1h85o2l3ubuj314069z7wh.jpg,无,True,无,2022-11-15 11:48,微博轻享版,1,0,0
Md1lvdeA0,https://weibo.cn/comment/Md1lvdeA0?uid=6859133019&rl=0#cmtfrm,自幼读书，粗知礼仪，观羊角哀、左伯桃之事，未尝不三叹而流涕也！傲上而不辱下，欺强而不凌弱，恩怨分明，信义最著，不忘故主，来去明白，真丈夫也！身虽死，名可垂于竹帛也！#关羽扮演者陆树铭老师去世#  ,,无,True,无,2022-11-01 16:37,微博轻享版,1,0,0
M9N0vlYQV,https://weibo.cn/comment/M9N0vlYQV?uid=6859133019&rl=0#cmtfrm,"转发理由:转发微博  
原始用户: 尤洋1719
转发内容: 我在 @知乎 回答了问题：如何看待NeurIPS2022审稿结果？ 👉 网页链接  原图 ",无,https://ww3.sinaimg.cn/large/7c1e1f4bly1h6y6plrz6tj20ro2kndjw.jpg,False,无,2022-10-11 10:35,微博轻享版,1,0,0
M6uAQtXu0,https://weibo.cn/comment/M6uAQtXu0?uid=6859133019&rl=0#cmtfrm,"甲申年三月十九日，永昌天子李自成进入北京，在北诸臣死节者廖廖，在南诸臣讨贼者廖廖。李自成“天命在我”，还是保持了简朴的作风。在崇祯急诏辽东总兵吴三桂勤王时，吴三桂携带家丁、奴隶、部曲磨磨唧唧地入关，到北京城破都没过开平（唐山），坐看崇祯皇帝在煤山公园（景山公园）自缢。吴三桂这个人，以“对不起国家，对不起家人，对不起自己”著称，所谓怒发冲冠为红颜是不存在的。开始投降李自成，后面又觉得后金给的条件更高，又突回山海关，开山海关邀清兵入关。入关前，清兵只能以小股军事力量自长城而下劫掠济南府，自此我大明门户洞开，清兵长驱直入，恍若天倾。李自成进行政权改革，开时以打压缙绅世族，团结穷困农民为主，引发了缙绅的强烈不满，虽后有改正，但此时以吴三桂为代表的汉族官绅的阶级仇恨已经大于民族仇恨，勾结满清贵族，明朝中央和地方政府整体投降满清，几乎与满清政府实现了无缝对接，明朝灭亡时尚有四十多万的野战部队在不到两年时间内几乎全部投降清朝，形成了对李自成大顺军的绝对优势。南明弘光朝廷延续了党争的传统，东林党人和武人争取拥立定策之功，史可法空有气节，朝廷没有一个是安邦定国之才，发起的唯一一次北伐，却不是针对清兵而是李自成。李自成受到清朝和弘光朝廷的夹击，败走西安，武昌，被当地村民误杀，部曲被隆武朝廷的湖南军阀何腾蛟分化排挤，主要将领遁入夔东，号十三家。李自成可能是历代“反贼”中道德最优秀的，他只身诱敌维护部下撤退，爱护百姓，他已经在重建这个癫狂世界的秩序了。大顺军倒台后，四川张献忠称大西，张献忠死后，四个义子继续抗清，两蹶名王，一度帮助南明朝廷打开局面。无论南明到死都在党争，都在内斗，始终放不下对农民军的偏见，却轻易放下了民族大义。                                 ",,无,True,无,2022-09-19 18:12,微博轻享版,0,0,0
M6tRv9exm,https://weibo.cn/comment/M6tRv9exm?uid=6859133019&rl=0#cmtfrm,"转发理由:学院派和实战派集大成者  
原始用户: 姬永锋
转发内容: 中国传奇教授李泽湘，正在批量制造独角兽原创 吴梅梅 IT桔子 2022-06-30 12:20 发表于北京说到李泽湘，可能搞不清状况的读者会把他的名字和李泽楷搞混了，毕竟他们只差了一个字——但是，李泽楷是香港富豪李嘉诚之子，李泽湘却是一位大学教授。在鼓励科技创新和创业的今天，大学教授去创业、做投资已不再稀奇。而李泽湘的神奇之处在于他集齐了大学教授、创业者、投资人三大身份，在高校「象牙塔」和商业的世界游刃有余地行走，将理论研究和实践充分地结合。李泽湘可能是教授圈里最懂创投的，他创造了近乎「封神」的成绩——不仅创办了固高科技（拟创业板上市）、李群自动化等几家「成功」的企业，还投资孵化了大疆、云鲸智能和海柔创新三家机器人独角兽公司以及多个准独角兽企业。教育改变命运，留学归国投身教育的教授李泽湘1961 年，李泽湘生于湖南省蓝山县，18 年后他考入中南矿冶学院（现中南工业大学）。在此前他是一家校办工厂的车工。正是这次考学和之后坚持的学习深造，改变了李泽湘的命运。当时中美刚建交，美国铝业公司出访中国并提出愿意帮助培养中方人才。李泽湘幸运地成为中国首批公派本科生，赴美国匹兹堡的卡内基梅隆大学（CMU）留学。在此期间，他钻研苦读，不仅攻克了英语这门语言难关，还顺利拿到了电机工程及经济学双学士学位。随即他又到加州大学伯克利分校继续攻读，于 1986 年及 1989 年分别获得数学硕士、电机工程与计算机硕士及博士学位。毕业后，李泽湘先后任职麻省理工学院（MIT）人工智能实验室（AI Lab）研究员，纽约大学（NYU）Courant 研究所计算机系助理教授。1992 年，31 岁的李泽湘怀着报效祖国的心愿做出了回国的决定，并接受刚成立的香港科技大学的聘请，出任电子及计算机工程学系教授，之后又创办了自动化技术研究中心和机器人研究所，担任主任。此后多年中，他不仅出任过多所知名工科院校的兼职教授，还创办了哈工大深圳研究生院控制与机电工程学科部，与广东工业大学合作创办了粤港机器人学院，与湖南大学合作创办了湖南大学机器人学院，积极投身于机器人教育事业中。连续创业成功，资本争抢的创业者李泽湘自 1992 年任职港科大后，李泽湘对国内高校体系「重论文，轻实践」的做法颇有些不满。到 1999 年，一次很好的创业实践的机会来临——深圳市政府、北京大学、香港科技大学三方携手创建深港产学研基地。当年李泽湘顺势联合港科大同事、同样是专家教授级别的高秉强、吴宏创立了固高科技，希望基于他们对运动控制技术、伺服驱动技术、机器视觉技术、网络技术和机械优化设计五个方向长期系统化的研究，从事运动控制及智能制造核心技术研究与开发。迄今，固高科技为近 60 个行业、2000 多家客户、200 多家系统集成商累计完成运动控制系统部署超过 50 万套。2021 年 8 月，固高科技与中信建投签署上市辅导协议，准备在国内创业板 IPO 上市。信息显示，2018-2020 年及 2021 年上半年，固高科技实现的营业收入分别为 2.99 亿元、2.48 亿元、2.83 亿元和 1.81 亿元。2017 年，李泽湘再次出发，在自己的家乡湖南发起设立了长沙智驾驶研究院（希迪智驾），这次他精准踩在了人工智能、自动驾驶的行业风口上，加上教授的 IP、孵化能力。希迪智驾获得了超多资本的支持，红杉中国更是在天使轮就投进了，包括湖南株洲国投创投这样的国资背景机构也投了。2022 年 5 月，希迪智驾刚完成了一笔 3 亿元的 C 轮融资，投资方为成都产投领投，投后估值 42 亿元。一战成名，独角兽大疆背后的导师李泽湘除固高科技和希迪智驾之外，在李泽湘参与创办的大疆、李群自动化中，他的身份更多是做幕后的创业导师、顾问，指导帮助那些创业者，也是一位天使投资人。独角兽企业大疆创始人汪滔正是李泽湘在港科大带出来的学生。2003 年，汪滔进入香港科技大学读本科。因为从小喜欢航模，他本科毕业论文就是无人飞行器的研究。但论文答辩时，汪滔的无人机没能飞起来，成绩被判定为不合格，他毕业出国深造的愿望也成了泡影。可李泽湘很欣赏汪滔，并将他招为自己的研究生，因为汪滔曾两次选修了他的运动控制课程，不论兴趣还是研发能力，都远超其他同学。从创业经验、公司注册地选择，到飞控系统的研发等，李泽湘都给了汪滔很多帮助。比如李泽湘建议汪滔在深圳创业——因为他通过长期观察发现，珠三角作为国内最大最全的代工基地拥有着全世界完整的制造业体系。无论是买零件还是开模具，都比欧美国家高效省力。另外，他还建议大疆先拿下国外市场然后转回国内；同时在消费级市场之外，拓展更多应用场景，特别是农业植保领域。从 2012 年李泽湘参与大疆的天使轮融资起，大疆后续斩获了多轮融资，并成为独角兽企业，估值达到 220 亿美金。2011 年，李泽湘支持学生石金博创办了李群自动化/QKM，核心业务为工业机器人的生产研发。李群自动化在 2015 年获得了红杉资本中国投资的 A 轮，至今完成了过亿元融资，借助资本的力量，这家公司发展迅猛。据说李群自动化是世界上第二家拥有全品类工业机器人产品的公司。可见，李泽湘教授不仅学术研究能力超强，在科研圈收获一定的名望；同时还有极强的创业融资能力，成为风投和资本争抢的那一类教授群体。创办投资机构，创业项目的领军人、孵化者李泽湘大疆、李群自动化的成功让李泽湘看到天使投资和孵化的意义重大，也促使他坚定了搭建一座将学院派理论转型为商业实践的桥梁。早在 2014 年，李泽湘就创立了清水湾创投，意图深度孵化手中的学生创业团队，但是一直没找到合适的机器人产业研发基地。在 2015 年，东莞市政府邀请李泽湘在松山湖创立了机器人产业基地，不仅提供场地，还给了部分启动资金，帮助李泽湘和他的学生创业团队启动项目。为此李泽湘先是邀请了原港科大工学院院长高秉强教授、长江商学院副院长甘洁教授共同加入，随后他又在全国范围物色合适的机器人技术项目和团队。六年来，松山湖机器人基地已经入驻了 50 多家国内机器人创业公司和团队。根据 IT 桔子数据，松山湖基金投资孵化的机器人项目就有 37 家，包括做智能竞技赛车的机器人公司「未知星球」、研发轻型动力外骨骼机器人的「英汉思动力」、专注油电混合动力植保无人机产品研发的「沐秦智能」，专注水面服务机器人的「ORCA 欧卡智舶」等等。李泽湘孵化的机器人创业团队将机器人的应用深入到 AI 医疗、创客教育、智能家居、智能工业、农业科技、环境卫生、家装、物流等各行业、各领域。其中，有不少团队的创始人都是大学生创业群体，比如「欧卡海洋智能 ORCA」的创始人朱健楠是西北工业大学航海学院博士生，在校期间便创业。还有几位大学生创业者就是在香港科技大学就读的，也是李泽湘的学生，包括专注直驱型精准动力方案的「本末科技」创始人张笛，地面自动铺砖服务机器人的「塑巢自动化」创始人胡耀清。值得注意的是，这支基金已经提前捕获了 2 只机器人独角兽——云鲸智能、海柔创新。2015 年，上海交大硕士毕业生张峻彬找到李泽湘，虽然李泽湘对其当时几个创业想法都不看好，但他很欣赏张峻彬的激情和投入，并支持他创业。张峻彬就此成为第一个入驻松山湖机器人基地的创业者。后来，他创办了云鲸智能项目，聚焦于生产研发可以「自己洗拖布」的拖地机器人。到 2020 年 6 月，云鲸智能完成 C 轮融资，估值达到 10 亿美元，新晋为机器人独角兽。海柔创新是李泽湘团队 XBOTPARK 基金（松山湖机器人研究院）在 2017 年初的种子轮就投到的。其创始人陈宇奇获得了香港理工电子系学士学位，在苏黎世理工大学攻读机器人学硕士期间肄业，于 2014 年和校友徐圣东合伙创业。这家公司主要做服务于电商仓库的仓储智能机器人，品牌为「库宝 KUBO」，可以帮助仓库实现物料搬运的自动化和分拣的自动化。通过李泽湘的投资孵化后，库宝机器人/海柔创新后续又新进了多笔融资，背后的资方阵容相当豪华，包括一线 VC 机构红杉资本中国、今日资本、联想之星、源码资本、五源资本和上市公司产业资本百世物流。今年 6 月，海柔创新完成了 D+轮数亿美元新融资，今日资本、红杉中国等老股东持续加码，海柔创新投后估值达到了 20.8 亿美元，成功跻身独角兽行列。李泽湘还将这种培养模式复制到了香港，他联合沈南鹏、马化腾共同成立了「香港 X 科技创业平台」，在整个大湾区进行全面的项目和人才孵化。李泽湘选择大湾区进行项目孵化，是因为他知道「硬件创业是九十九死一生」，高成本，低效率是高科技硬件创业的致命问题，唯一突破的办法就是快速迭代，而大湾区这里的迭代速度不仅比欧美快十倍，成本只有十分之一。从一个普通工人成长为知名教授和企业家、投资人，李泽湘的成长经历告诉我们：个人的努力和勤奋固然很重要，但选择和机遇的力量也不可忽视。所谓「时势造英雄」，在当下这个科技创新盛行的时代，需要李泽湘这样学以致用、知行合一的英雄。他的做派既古典又新潮，充分地符合当下的价值观主流。时代需要李泽湘这样学以致用、知行合一的科技创业者，李泽湘和他的学生们正赶上了科技创新创业的好时代，李泽湘会培养更多的「李泽湘们」吗？ [组图共3张]  原图                 ",无,https://ww1.sinaimg.cn/large/006iuXW1gy1h3qnc81pd2j30o10cwn09.jpg https://ww3.sinaimg.cn/large/006iuXW1gy1h3qnc9487uj30q30ioq64.jpg https://ww1.sinaimg.cn/large/006iuXW1gy1h3qncbanfrj30o10addhq.jpg,False,无,2022-09-19 16:20,微博轻享版,0,0,0
M6tNuCtXl,https://weibo.cn/comment/M6tNuCtXl?uid=6859133019&rl=0#cmtfrm,转发微博已被删除,无,,False,无,2022-09-19 16:10,微博轻享版,0,0,0
